zone_id,rf,drf,rf_meta_tag,drf_meta_tag
zone_id,RF,DRF,no,no
4504039,https://onlinevideoconverter.com/en/youtube-converter,https://www.bing.com/,yes,yes
5293499,https://forja.me/,https://forja.me/view/208,yes,yes
5769019,https://episodes.animeflix.net.in/archives/8497,,yes,no
6116219,https://grupostlgrm.com/grupos-telegram-xxx/,https://www.google.com/,yes,no
4399903,https://eclipseemu.me/preplay/,https://eclipseemu.me/,yes,yes
5979103,https://tvshows4mobile.org/areyouhuman.php?fid=163672,https://tvshows4mobile.org/The-Dragon-Prince/Season-05/Episode-04/index.html?codetv=MTA1LjExMi4xNTQuMTIw,no,no
6046483,https://burmamediarays.club/?page_id=32166&fbclid=IwAR09fAq9tl3vlUeU9tjA8-SZCaJgSkSsbMJJWR0Rj67RkAPeLCicnNCM5Qg,https://lm.facebook.com/,yes,no
6110603,https://www.movies.ug/index.php?search=vj%20ice%20p&page=3,https://www.movies.ug/index.php?search=vj%20ice%20p&page=2,yes,yes
5660271,https://www.ejemploseningles.com/oraciones-con-drink-en-ingles-increibles/,https://www.google.com/,yes,no
5944331,https://www.times.lk/news/local-news/66515?fbclid=IwAR2c2PPmOOitXrOerjQ-0Oh4JHNE0ukaWrdAnQDxeY1oxNr1fVKW_ZzNRqQ,https://lm.facebook.com/,yes,no
6068771,https://hollywoodgossips.fun/index.php/2023/04/22/kaley-cuoco-flashes-assets-as-she-gets-topless-in-saucy-pvc-skirt-for-jaw-drop,https://lm.facebook.com/,yes,no
6088591,https://selink.top/IIEsM,,yes,no
6132511,https://jbnewz.com/2023/06/06/hfgh675/?fbclid=IwAR2LCV8HC-q5sWnSDoEC69p1k9ekbVYzBY6_RyLmkjtyZRqRTTBwI_T-gTg,https://lm.facebook.com/,yes,no
